arrival_to_far_corner_m,area_m2,address_rows,unit_rows,distinct_house_numbers,street,example_address,example_address_last,arrival_lat,arrival_lng,site_centre_lat,site_centre_lng
673.8,47075,1,0,1,Cedar,4182 Cedar Dr,4182 Cedar Dr,49.288518,-122.724356,49.283973,-122.723699
654.6,2691,1,0,1,Hampton,1735 Hampton Dr,1735 Hampton Dr,49.308653,-122.783250,49.304123,-122.778990
653.1,26205,1,0,1,David,3307 David Ave,3307 David Ave,49.294573,-122.769268,49.298740,-122.767404
640.6,91864,1,0,1,Leeder,22 Leeder St,22 Leeder St,49.222368,-122.829893,49.224965,-122.831238
609.3,14728,1,0,0,Brunette,Brunette Ave,Brunette Ave,49.234645,-122.877941,49.231034,-122.875073
596.6,15768,1,0,1,Burbidge,5 Burbidge St,5 Burbidge St,49.223569,-122.823768,49.224332,-122.816285
596.2,95076,2,0,2,Oliver,4375 Oliver Rd,4455 Oliver Rd,49.293053,-122.702839,49.295241,-122.703494
577.5,169504,1,0,0,Coast Meridian,Coast Meridian Rd,Coast Meridian Rd,49.307428,-122.755838,49.309255,-122.752955
565.7,157740,1,0,0,Fremont,Fremont St,Fremont St,49.307266,-122.739851,49.304858,-122.736592
564.7,161741,1,0,1,Hazel,3331 Hazel Ave,3331 Hazel Ave,49.307392,-122.761351,49.309274,-122.763985
563.1,136612,1,0,1,Highland,3001 Highland Dr,3001 Highland Dr,49.300219,-122.761439,49.302025,-122.764520
560.4,158410,1,0,1,Calgary,1432 Calgary Dr,1432 Calgary Dr,49.300448,-122.711521,49.302196,-122.714353
558.5,54554,1,0,1,Highland,3000 Highland Dr,3000 Highland Dr,49.300219,-122.761439,49.298490,-122.765998
555.3,66700,1,0,1,United,1050 United Blvd,1050 United Blvd,49.229991,-122.864566,49.227841,-122.863761
555.3,68211,61,59,6,Burbidge,1 Burbidge St,9 Burbidge St B,49.223569,-122.823768,49.224154,-122.818570
554.8,250551,1,0,1,Mariner,501 Mariner Way,501 Mariner Way,49.251557,-122.815706,49.252005,-122.812465
548.3,146370,1,0,1,Harper,3431 Harper Rd,3431 Harper Rd,49.304003,-122.750055,49.305557,-122.748446
545.8,20246,1,0,1,Como Lake,2501 Como Lake Ave,2501 Como Lake Ave,49.263223,-122.822244,49.266953,-122.822273
538.4,159511,1,0,1,Quarry,4892 Quarry Rd,4892 Quarry Rd,49.322732,-122.680123,49.319285,-122.680671
537.4,145313,1,0,1,Upper Harper,5000 Upper Harper Rd,5000 Upper Harper Rd,49.313515,-122.749280,49.315973,-122.751340
537.0,37573,1,0,1,Quarry,5100 Quarry Rd,5100 Quarry Rd,49.325910,-122.672328,49.328827,-122.669656
530.8,101085,176,175,1,King Edward,145 King Edward St,145 King Edward St Bay 123,49.235810,-122.861666,49.236397,-122.858926
528.1,84913,1,0,0,Thermal,Thermal Dr,Thermal Dr,49.266191,-122.828490,49.265578,-122.832250
522.1,747,1,0,0,Norman,Norman Ave,Norman Ave,49.270909,-122.808659,49.269763,-122.815376
521.8,86979,1,0,1,Quarry,4141 Quarry Rd,4141 Quarry Rd,49.310333,-122.699975,49.308710,-122.703206
512.3,23596,68,67,1,Dewdney Trunk,4200 Dewdney Trunk Rd,4200 Dewdney Trunk Rd 9,49.275907,-122.816798,49.276103,-122.819637
511.2,4434,1,0,1,Johnson,1491 Johnson St,1491 Johnson St,49.301032,-122.793560,49.297778,-122.790076
506.6,4220,1,0,1,United,1046 United Blvd,1046 United Blvd,49.229991,-122.864566,49.227841,-122.864495
